Arch2_bench1,Arch2_bench2,Arch4_bench1,Arch4_bench2,Arch5_bench1,Arch5_bench2,total_cnk,
25325,30769,11086,11332,25325,30994,32372,
25197,29579,11019,11179,25197,29773,30941,
25956,30282,11209,11344,25956,30459,31631,
25044,30360,10873,11091,25045,30585,31974,
24911,28992,11136,11343,24911,29174,30200,
25083,28718,11082,11302,25083,28867,29833,
25036,29664,10826,11112,25036,29866,31079,
24386,28088,10912,11130,24386,28314,29305,
24469,28541,11124,11388,24469,28736,29721,
25422,30186,11123,11286,25422,30432,31795,
24886,29755,10872,11045,24888,29911,31203,
25087,30160,11040,11258,25088,30392,31690,
25784,31275,10973,11191,25785,31480,33016,
25500,30723,11167,11347,25500,30952,32301,
25361,29716,11001,11259,25361,29913,31068,
25340,29951,11026,11227,25340,30092,31269,
25483,29073,11309,11532,25483,29241,30150,
24910,29493,10974,11214,24911,29694,30811,
24544,29473,10938,11165,24546,29713,30993,
24037,27742,10890,11173,24037,27925,28879,
