Arch2_bench1,Arch2_bench2,Arch2_sa,Arch4_bench1,Arch4_bench2,Arch4_sa,Arch5_bench1,Arch5_bench2,Arch5_sa,total_cnk,
5652,13585,18899,3698,3700,5299,5663,13626,18975,31488,
5729,13777,18101,3728,3730,5256,5740,13810,18149,29570,
5630,13949,19390,3695,3700,5399,5638,13980,19425,32759,
5715,13929,18896,3705,3712,5295,5721,13968,19019,31068,
5563,13614,19068,3674,3673,5285,5566,13654,19075,31985,
5563,14034,19588,3665,3668,5313,5571,14061,19647,33066,
5471,13743,19138,3658,3659,5327,5480,13770,19157,32041,
5682,13958,18967,3704,3711,5272,5692,13980,19029,31621,
5603,13802,18379,3717,3729,5285,5612,13835,18390,30174,
5721,13708,18711,3724,3738,5313,5736,13743,18804,30726,
