arch1_lb,Arch2_bench1,Arch2_bench2,Arch2_sa,arch2_lb,Arch4_bench1,Arch4_bench2,Arch4_sa,arch4_lb,Arch5_bench1,Arch5_bench2,Arch5_sa,arch5_lb,total_cnk
225,915,1539,2417,2261,478,604,1353,1554,915,1540,2401,2541,4427
225,915,1546,2272,2149,483,609,1318,1532,916,1547,2266,2400,4206
225,947,1518,2287,2172,516,638,1324,1526,948,1518,2303,2447,4251
225,934,1541,2344,2198,490,621,1325,1559,934,1541,2338,2491,4443
225,911,1535,2435,2289,480,609,1357,1550,912,1535,2396,2570,4600
225,923,1516,2336,2205,496,617,1326,1538,923,1517,2328,2474,4492
225,929,1540,2228,2112,493,618,1299,1496,930,1540,2220,2354,4204
225,895,1526,2352,2182,492,612,1335,1540,897,1526,2344,2496,4375
225,903,1528,2363,2234,488,618,1337,1537,904,1528,2340,2493,4400
225,932,1539,2403,2266,489,624,1349,1581,932,1539,2395,2534,4554
225,915,1518,2318,2107,498,622,1318,1523,915,1518,2312,2447,4403
225,915,1531,2367,2186,492,621,1333,1551,917,1531,2379,2526,4629
225,914,1530,2330,2213,487,618,1314,1500,914,1530,2323,2474,4444
225,901,1521,2381,2264,485,616,1344,1558,902,1521,2367,2521,4443
225,921,1554,2382,2239,487,625,1349,1552,922,1554,2364,2524,4501
225,900,1555,2460,2294,493,610,1372,1574,902,1555,2436,2608,4763
225,927,1534,2330,2214,506,625,1341,1529,927,1534,2328,2472,4362
225,910,1541,2412,2246,491,607,1359,1538,910,1541,2389,2546,4637
225,909,1531,2287,2208,477,606,1332,1538,909,1531,2328,2469,4299
225,910,1547,2325,2179,472,598,1334,1531,910,1547,2319,2456,4308
225,916.3,1534.5,2351.45,2210.9,489.65,615.9,1335.95,1540.35,916.95,1534.65,2343.8,2492.15,4437.05
