arch1_ub,arch1_lb,arch2_ub,arch2_lb,arch4_ub,arch4_lb,arch5_ub,arch5_lb,total_cnk
150,150,1239,1128,1020,873,1240,1233,1812
150,150,1303,1200,1066,921,1303,1296,1906
150,150,1295,1188,1064,914,1297,1291,1848
150,150,1274,1168,1046,912,1275,1256,1836
150,150,1316,1206,1078,926,1316,1304,1954
150,150,1336,1221,1088,925,1336,1319,2047
150,150,1295,1193,1064,906,1296,1281,1977
150,150,1259,1158,1036,886,1260,1245,1843
150,150,1337,1221,1090,927,1337,1330,2072
150,150,1220,1119,1011,873,1219,1204,1756
150,150,1313,1212,1078,927,1314,1297,1926
150,150,1298,1197,1071,922,1298,1286,1951
150,150,1319,1218,1076,912,1320,1300,1968
150,150,1367,1252,1113,934,1367,1354,2073
150,150,1349,1239,1100,915,1348,1334,2041
150,150,1244,1144,1029,895,1246,1227,1748
150,150,1312,1211,1074,913,1312,1301,1903
150,150,1290,1180,1055,912,1290,1278,1878
150,150,1276,1180,1051,915,1276,1262,1899
150,150,1361,1238,1109,933,1361,1342,2084
