id,arch4_connections_lb,arch4_connections_ub,arch4_throughput_lb,arch4_throughput_ub,arch1_connections,arch1_throughput,arch2_connections_lb,arch2_connections_ub,arch2_throughput_lb,arch2_throughput_ub,arch5_connections_lb,arch5_connections_ub,arch5_throughput_lb,arch5_throughput_ub,total_cnk
0,601.0,612.0,512125.0,518325.0,300.0,300000.0,1238.0,1261.0,560325.0,566075.0,401.0,803.0,288600.0,559600.0,8340.0
1,615.0,639.0,496550.0,516050.0,299.0,299000.0,1212.0,1243.0,559575.0,567100.0,408.0,817.0,283100.0,560100.0,7515.0
2,604.0,624.0,499400.0,517000.0,299.0,299000.0,1206.0,1227.0,560950.0,567700.0,405.0,811.0,275500.0,560100.0,8195.0
3,601.0,615.0,507900.0,518200.0,300.0,300000.0,1222.0,1224.0,567325.0,568125.0,403.0,806.0,285700.0,560000.0,8070.0
4,602.0,610.0,511300.0,518700.0,300.0,300000.0,1214.0,1243.0,557875.0,566775.0,406.0,812.0,294200.0,560100.0,8221.0
5,620.0,633.0,509075.0,516275.0,299.0,299000.0,1201.0,1225.0,561250.0,568300.0,410.0,820.0,272500.0,559500.0,7877.0
6,609.0,624.0,503575.0,517175.0,299.0,299000.0,1219.0,1238.0,562525.0,567275.0,403.0,806.0,277800.0,559700.0,8453.0
7,593.0,610.0,506700.0,518300.0,300.0,300000.0,1210.0,1234.0,559300.0,567275.0,405.0,810.0,281700.0,559600.0,7637.0
8,602.0,618.0,507850.0,517650.0,299.0,299000.0,1204.0,1237.0,560000.0,567450.0,404.0,809.0,285200.0,560300.0,8061.0
9,611.0,635.0,496575.0,516175.0,299.0,299000.0,1230.0,1283.0,554375.0,565450.0,409.0,818.0,283800.0,560200.0,7627.0
10,605.0,623.0,502525.0,516825.0,299.0,299000.0,1216.0,1235.0,562375.0,567425.0,406.0,812.0,281900.0,559900.0,7756.0
11,602.0,627.0,496175.0,516775.0,299.0,299000.0,1219.0,1256.0,559000.0,566750.0,408.0,817.0,280800.0,560800.0,7997.0
12,592.0,615.0,496350.0,517950.0,300.0,300000.0,1231.0,1242.0,563200.0,566800.0,405.0,810.0,282225.0,559425.0,7746.0
13,609.0,641.0,489800.0,515800.0,298.0,298000.0,1222.0,1244.0,560075.0,567000.0,411.0,823.0,279300.0,559300.0,7879.0
14,594.0,617.0,500250.0,517750.0,299.0,299000.0,1219.0,1245.0,559525.0,566875.0,405.0,811.0,278200.0,560300.0,7997.0
15,602.0,624.0,500125.0,517325.0,300.0,300000.0,1230.0,1289.0,551050.0,565475.0,409.0,818.0,278900.0,560100.0,7794.0
16,616.0,632.0,502675.0,516675.0,300.0,300000.0,1221.0,1235.0,562400.0,567100.0,407.0,815.0,274400.0,559700.0,7706.0
17,597.0,626.0,493000.0,516700.0,299.0,299000.0,1210.0,1222.0,564050.0,568175.0,407.0,815.0,283575.0,559175.0,7865.0
18,603.0,625.0,499375.0,517275.0,300.0,300000.0,1230.0,1275.0,553075.0,565625.0,404.0,808.0,276800.0,560200.0,7982.0
19,609.0,622.0,507575.0,517375.0,300.0,300000.0,1211.0,1235.0,561425.0,567050.0,402.0,805.0,287400.0,560200.0,8096.0
